City,Pending,Rejected,Verified,address,admissions_email,admissions_page,business_name,category,city,completeness_score,confidence_score,contact_page,country,coverImage,coverimage,createdAt,created_at,created_by_agent,data_last_verified_date,data_quality,dedupe_key,description,descriptionAr,descriptionKu,descriptionar,descriptionku,distance,email,external_id,external_source_id,facebook,fsq_id,governorate,governorate_seed,id,imageUrl,imageurl,instagram,institution_id,institution_name,institution_type,isFeatured,isPremium,isVerified,is_active,is_suspicious,last_seen_at,lat,latitude,linkedin,lng,longitude,main_email,main_phone,maps_url,name,nameAr,nameKu,name_en,namear,nameku,needs_review,normalized_address,normalized_facebook,normalized_instagram,normalized_name,normalized_phone,normalized_website,notes,official_source_1,official_source_2,official_source_3,official_website,openHours,openhours,original_phone,phone,phone_status,priceRange,pricerange,public_private,rating,raw_data,registrar_email,registrar_page,reviewCount,scraped_at,search_tags,source,source_confidence,source_file,source_name,status,subcategory,tags,telegram,type,updated_at,verification_status,verified,website,whatsapp,whatsapp_public_link,x_twitter,youtube,﻿name
,,,,"Street 21, Sulaymaniyah City, Sulaymaniyah",,,,electronics,Sulaymaniyah City,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Tech City Baghdad 4 - Sulaymaniyah City - Store selling electronic devices, gadgets, appliances, and technology products. Located in Sulaymaniyah City, Iraq.

Located at Street 21, Sulaymaniyah City, Sulaymaniyah, Sulaymaniyah City, Sulaymaniyah City Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Sulaymaniyah City,,0079b313-271e-4e9a-b734-c994483643af,,,,,,,false,false,false,,True,,,,,,,,,,Tech City Baghdad 4 - Sulaymaniyah City,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 7, Al-Jubba, Karbala",,,,pharmacy,Al-Jubba,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Erbil Pharmacy - Al-Jubba - Retail store dispensing prescription medications, health products, and medical supplies. Located in Al-Jubba, Iraq.

Located at Street 7, Al-Jubba, Karbala, Al-Jubba, Al-Jubba Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Al-Jubba,,0087e516-15ff-46ad-8424-f3cd9760e82f,,,,,,,false,false,false,,True,,,,,,,,,,Erbil Pharmacy - Al-Jubba,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 20, Smawa, Dhi Qar",,,,restaurant,Smawa,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Karrada Grill 3 - Smawa - Food establishment serving meals, snacks, and beverages to customers on-site or for delivery. Located in Smawa, Iraq.

Located at Street 20, Smawa, Dhi Qar, Smawa, Smawa Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,TestGov,,00884fd6-2052-4e2f-baf2-6729a958735b,,,,,,,false,false,false,,True,,,,,,,,,,Karrada Grill 3 - Smawa,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 1, Kirkuk City, Kirkuk",,,,school,Kirkuk City,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Al-Mustansiriya School - Kirkuk City - Educational institution providing academic instruction and learning programs for students. Located in Kirkuk City, Iraq.

Located at Street 1, Kirkuk City, Kirkuk, Kirkuk City, Kirkuk City Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Kirkuk City,,00927551-4f2c-4365-8a6e-0621df338142,,,,,,,false,false,false,,True,,,,,,,,,,Al-Mustansiriya School - Kirkuk City,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 3, Halabja, Sulaymaniyah",,,,clothes,Halabja,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Erbil Fashion - Halabja - Retail store selling clothing, apparel, and fashion items for men, women, and children. Located in Halabja, Iraq.

Located at Street 3, Halabja, Sulaymaniyah, Halabja, Halabja Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Halabja,,009415a8-18fb-4b4d-a9ac-1a2758f4553f,,,,,,,false,false,false,,True,,,,,,,,,,Erbil Fashion - Halabja,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 8, Rabiya, Mosul",,,,bus_station,Rabiya,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Kirkuk Terminal - Rabiya - Transportation hub for bus services, connecting passengers to various destinations. Located in Rabiya, Iraq.

Located at Street 8, Rabiya, Mosul, Rabiya, Rabiya Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Rabiya,,0098e76d-4d84-4924-ae87-83f1fba51917,,,,,,,false,false,false,,True,,,,,,,,,,Kirkuk Terminal - Rabiya,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 23, Al-Hayy, Wasit",,,,cafe,Al-Hayy,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Al-Zawraa Cafe 4 - Al-Hayy - Coffee shop offering beverages, light meals, and a comfortable space for socializing or work. Located in Al-Hayy, Iraq.

Located at Street 23, Al-Hayy, Wasit, Al-Hayy, Al-Hayy Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Al-Hayy,,00a20b49-ac86-4708-8ad9-dba4d334acb9,,,,,,,false,false,false,,True,,,,,,,,,,Al-Zawraa Cafe 4 - Al-Hayy,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 3, Muqdadiyah, Diyala",,,,mosque,Muqdadiyah,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Imam Ali Shrine - Muqdadiyah - Islamic place of worship for prayer, religious gatherings, and community activities. Located in Muqdadiyah, Iraq.

Located at Street 3, Muqdadiyah, Diyala, Muqdadiyah, Muqdadiyah Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Muqdadiyah,,00ababe7-35ae-4072-b129-39f687bc132e,,,,,,,false,false,false,,True,,,,,,,,,,Imam Ali Shrine - Muqdadiyah,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 18, Bardarash, Dohuk",,,,hospital,Bardarash,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Al-Wasiti Hospital 3 - Bardarash - Medical facility providing healthcare services, emergency care, and specialized treatments. Located in Bardarash, Iraq.

Located at Street 18, Bardarash, Dohuk, Bardarash, Bardarash Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Bardarash,,00ad95b2-99b5-450e-b323-d2d594609e3d,,,,,,,false,false,false,,True,,,,,,,,,,Al-Wasiti Hospital 3 - Bardarash,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 22, Al-Aziziyah, Wasit",,,,bus_station,Al-Aziziyah,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Basra Transport Hub 4 - Al-Aziziyah - Transportation hub for bus services, connecting passengers to various destinations. Located in Al-Aziziyah, Iraq.

Located at Street 22, Al-Aziziyah, Wasit, Al-Aziziyah, Al-Aziziyah Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Al-Aziziyah,,00b4cb53-e686-4cf9-8de0-b196a279a6ea,,,,,,,false,false,false,,True,,,,,,,,,,Basra Transport Hub 4 - Al-Aziziyah,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 3, Manathira, Najaf",,,,school,Manathira,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Erbil International School - Manathira - Educational institution providing academic instruction and learning programs for students. Located in Manathira, Iraq.

Located at Street 3, Manathira, Najaf, Manathira, Manathira Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Manathira,,00c57625-b6de-49a4-8bbc-09e4986414cf,,,,,,,false,false,false,,True,,,,,,,,,,Erbil International School - Manathira,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 1, Nasiriyah, Dhi Qar",,,,gym,Nasiriyah,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Iron Body Gym - Nasiriyah - Fitness center equipped with exercise machines, weights, and training programs for physical health. Located in Nasiriyah, Iraq.

Located at Street 1, Nasiriyah, Dhi Qar, Nasiriyah, Dhi Qar Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Dhi Qar,,00c72b2c-85a1-4656-bd96-75526096e4c1,,,,,,,false,false,false,,True,,,,,,,,,,Iron Body Gym - Nasiriyah,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 15, Al-Karkh, Baghdad",,,,bank,Al-Karkh,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"National Bank of Iraq 3 - Al-Karkh - Financial institution offering banking services, loans, savings accounts, and financial advice. Located in Al-Karkh, Iraq.

Located at Street 15, Al-Karkh, Baghdad, Al-Karkh, Al-Karkh Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Al-Karkh,,00d837b2-37ba-4c86-93d0-58d859d632c4,,,,,,,false,false,false,,True,,,,,,,,,,National Bank of Iraq 3 - Al-Karkh,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 7, Al-Tar, Dhi Qar",,,,cafe,Al-Tar,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Erbil Espresso - Al-Tar - Coffee shop offering beverages, light meals, and a comfortable space for socializing or work. Located in Al-Tar, Iraq.

Located at Street 7, Al-Tar, Dhi Qar, Al-Tar, Al-Tar Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Al-Tar,,00dcab65-6ee5-4c25-9d7b-16253bd711ad,,,,,,,false,false,false,,True,,,,,,,,,,Erbil Espresso - Al-Tar,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 3, Baiji, Saladin",,,,supermarket,Baiji,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Spinneys Baghdad - Baiji - Large retail store selling groceries, household items, and daily necessities. Located in Baiji, Iraq.

Located at Street 3, Baiji, Saladin, Baiji, Baiji Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Baiji,,00e7ec2a-d25f-4ad0-9a10-39a938c4f063,,,,,,,false,false,false,,True,,,,,,,,,,Spinneys Baghdad - Baiji,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 13, Al-Hamza, Qadisiyyah",,,,bank,Al-Hamza,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Rafidain Bank 3 - Al-Hamza - Financial institution offering banking services, loans, savings accounts, and financial advice. Located in Al-Hamza, Iraq.

Located at Street 13, Al-Hamza, Qadisiyyah, Al-Hamza, Al-Hamza Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Al-Hamza,,00e89210-82d6-41b0-bc44-dc2eba1321b1,,,,,,,false,false,false,,True,,,,,,,,,,Rafidain Bank 3 - Al-Hamza,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 15, Mandali, Diyala",,,,restaurant,Mandali,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Dijla Restaurant 3 - Mandali - Food establishment serving meals, snacks, and beverages to customers on-site or for delivery. Located in Mandali, Iraq.

Located at Street 15, Mandali, Diyala, Mandali, Mandali Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Mandali,,00facd99-a244-4009-b9c9-b4e68cae9abe,,,,,,,false,false,false,,True,,,,,,,,,,Dijla Restaurant 3 - Mandali,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 9, Al-Mishraq, Najaf",,,,gym,Al-Mishraq,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Elite Gym - Al-Mishraq - Fitness center equipped with exercise machines, weights, and training programs for physical health. Located in Al-Mishraq, Iraq.

Located at Street 9, Al-Mishraq, Najaf, Al-Mishraq, Al-Mishraq Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Al-Mishraq,,01124759-6526-4e72-8d35-3e24a94eead6,,,,,,,false,false,false,,True,,,,,,,,,,Elite Gym - Al-Mishraq,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 20, Pirde, Erbil",,,,bank,Pirde,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Commercial Bank 3 - Pirde - Financial institution offering banking services, loans, savings accounts, and financial advice. Located in Pirde, Iraq.

Located at Street 20, Pirde, Erbil, Pirde, Pirde Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Pirde,,0114686d-c656-49b8-b8c9-abba69be6e75,,,,,,,false,false,false,,True,,,,,,,,,,Commercial Bank 3 - Pirde,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 20, Darband-i-Khan, Halabja",,,,school,Darband-i-Khan,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Progress Academy 3 - Darband-i-Khan - Educational institution providing academic instruction and learning programs for students. Located in Darband-i-Khan, Iraq.

Located at Street 20, Darband-i-Khan, Halabja, Darband-i-Khan, Darband-i-Khan Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Darband-i-Khan,,0118abcb-fdc2-403b-b75d-ee31f705e7bf,,,,,,,false,false,false,,True,,,,,,,,,,Progress Academy 3 - Darband-i-Khan,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 7, Sayed Sadiq, Maysan",,,,furniture,Sayed Sadiq,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Home Center - Sayed Sadiq - Store offering home and office furniture, furnishings, and interior décor items. Located in Sayed Sadiq, Iraq.

Located at Street 7, Sayed Sadiq, Maysan, Sayed Sadiq, Sayed Sadiq Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Sayed Sadiq,,011e3244-2cd4-4ff2-b3d6-a099e8c699ff,,,,,,,false,false,false,,True,,,,,,,,,,Home Center - Sayed Sadiq,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 8, Dora, Baghdad",,,,cafe,Dora,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Basra Cafe - Dora - Coffee shop offering beverages, light meals, and a comfortable space for socializing or work. Located in Dora, Iraq.

Located at Street 8, Dora, Baghdad, Dora, Dora Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Dora,,011ef4d1-afde-4e95-bb0e-c4c78644f3a8,,,,,,,false,false,false,,True,,,,,,,,,,Basra Cafe - Dora,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 7, Al-Tar, Dhi Qar",,,,pharmacy,Al-Tar,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Erbil Pharmacy - Al-Tar - Retail store dispensing prescription medications, health products, and medical supplies. Located in Al-Tar, Iraq.

Located at Street 7, Al-Tar, Dhi Qar, Al-Tar, Al-Tar Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Al-Tar,,01215bd5-519d-4f2c-8361-5efe1415102f,,,,,,,false,false,false,,True,,,,,,,,,,Erbil Pharmacy - Al-Tar,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 15, Al-Azizia, Wasit",,,,supermarket,Al-Azizia,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Al-Rasheed Supermarket 3 - Al-Azizia - Large retail store selling groceries, household items, and daily necessities. Located in Al-Azizia, Iraq.

Located at Street 15, Al-Azizia, Wasit, Al-Azizia, Al-Azizia Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Al-Azizia,,01242f34-2933-4dcd-a665-783ecd4e452a,,,,,,,false,false,false,,True,,,,,,,,,,Al-Rasheed Supermarket 3 - Al-Azizia,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 17, Khanaqin, Diyala",,,,clothes,Khanaqin,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Al-Karrada Fashion 3 - Khanaqin - Retail store selling clothing, apparel, and fashion items for men, women, and children. Located in Khanaqin, Iraq.

Located at Street 17, Khanaqin, Diyala, Khanaqin, Diyala Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Diyala,,013da398-62dd-4df7-8800-80257eb0f429,,,,,,,false,false,false,,True,,,,,,,,,,Al-Karrada Fashion 3 - Khanaqin,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 1, Karbala City, Karbala",,,,gym,Karbala City,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Iron Body Gym - Karbala City - Fitness center equipped with exercise machines, weights, and training programs for physical health. Located in Karbala City, Iraq.

Located at Street 1, Karbala City, Karbala, Karbala City, Karbala City Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Karbala City,,01437be4-0f35-4a68-be88-53ff3da9342d,,,,,,,false,false,false,,True,,,,,,,,,,Iron Body Gym - Karbala City,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 13, Faw, Basra",,,,bank,Faw,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Rafidain Bank 3 - Faw - Financial institution offering banking services, loans, savings accounts, and financial advice. Located in Faw, Iraq.

Located at Street 13, Faw, Basra, Faw, Faw Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Faw,,014e2ce3-9cd2-4b84-80f5-fde2aeb843fd,,,,,,,false,false,false,,True,,,,,,,,,,Rafidain Bank 3 - Faw,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 15, Shinafiyah, Qadisiyyah",,,,clothes,Shinafiyah,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Style Center 3 - Shinafiyah - Retail store selling clothing, apparel, and fashion items for men, women, and children. Located in Shinafiyah, Iraq.

Located at Street 15, Shinafiyah, Qadisiyyah, Shinafiyah, Shinafiyah Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Shinafiyah,,015be137-7b42-49a9-9744-e314296688e8,,,,,,,false,false,false,,True,,,,,,,,,,Style Center 3 - Shinafiyah,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 1, Karrada, Baghdad",,,,bus_station,Karrada,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Baghdad Central Bus Station - Karrada - Transportation hub for bus services, connecting passengers to various destinations. Located in Karrada, Iraq.

Located at Street 1, Karrada, Baghdad, Karrada, Karrada Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Karrada,,01834f53-e901-4a0e-ab88-648647b61564,,,,,,,false,false,false,,True,,,,,,,,,,Baghdad Central Bus Station - Karrada,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
