name,name_en,phone,website,email,address,city,governorate,category,subcategory,latitude,longitude,facebook,instagram,data_quality,verified,source
"ڕەوەز فۆن",inkax .. mobail,+9647701554833,http://faecbook./rawazphone@gmail.com,,"شةقامي كاوة",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"موبايل ديار",Dyar Apple,+9647701522312,,,22 Peramerd,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
ViP Plus Center,,+9647717005445,,,"22 پیرەمێرد",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"موبايل ئەلەند",Aland Phone,+9647701574725,https://instagram.com/aland__phone,aland.phone199@gmail.com,"22 پیرەمێرد",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Poshaky Alan,,+9647701440204,,,"HC6V+4H2, Sulaymaniyah 46001, HC6V+4H2, Sulaymaniyah",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Dr Phone,Dr Phone,+9647724165050,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"ماڵی هەژاران",Mally hazharan,+9647501363001,,,"https://maps.google.com/?q=35.587772,45.389008",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Asda Market,,+9647722140707,,,Sadaka- Opposite to Shahidan Park,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
atw phone,,+9647501832535,,,"azadi, 30 Meter Road",sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Mobile Rangala,,+9647702163235,,,Azady - 30m Street near Khawnakan Residential,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
Dyako Mobile,,+9647701496116,,,Azady,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
"جام مخزن","JAAM - Natural Spring Water, Warehouse",+9647705497700,https://www.jaamwater.com/,,60 Meter Road,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"كاردين",market kardin,+9647501223298,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"بالەی ئەوروپیی قەیوان",balay awrupi qaiwan,+9647705061696,,Mahmud200891@gmail.com,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Rezhwan Phone,,+9647700012313,https://rezhwan.net/,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Amazon Mobile,,+9647708637075,,,Raparin,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
"سندرلا 2",,+9647702261346,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"مارکێت گوڵستان",,+9647701412558,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"پێشانگای ڕێم",,+9647501554958,,,07736991561,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"پێشانگای کاک مقداد",,+9647736991561,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"پێشانگای کاک مقداد",,+9647736991561,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"فزاع الملكي للعطور",,+9647701772717,,,Kirkuk-Slemani Road,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"دارالتواضع",Dar-Al TAVAZO,+9647701510717,http://www.daraltavazo.com,info@daraltavazo.com,"1, Sulemany-Karkuk-Dukan Road",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"تيليهوم",Telehome,+9647703589171,http://www.Telehome.me,info@telehome.me,,"سلێمانی",Sulaymaniyah,shopping,shop,,,,,real,,
M CENTER VIP,,+9647700390505,,contact@mcentervip.com,"٣٩ جەمال عیرفان",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"مارکیتی میرستان",,+9647730718288,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"وه رشه ی به ختیاری بو چاکردنی سپلیت",A C service,+9647708675278,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"نوروز فون",Nawroz Phone,+9647717267630,,nawrozazad92@gmail.com,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Apple Center,,+9647711523837,https://www.instagram.com/apple_cenetr?igsh=OTlldmUyZzU2ajZr,,"113, Tawar Street","سلێمانی",Sulaymaniyah,shopping,shop,,,,,real,,
"ياد فون",Yad Phone,+9647701539104,https://www.facebook.com/yadphone,yadphone@yahoo.com,"07701539104, 119-68","سلێمانی",Sulaymaniyah,shopping,shop,,,,,real,,
Nahro Mobile,,+9647734001010,,,Sarchinar- Shahidany Sarchinar,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
"ماڵی هەژاران",,+964750136001,,,74 Sherko Bekas,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Bawan Mobile,,+9647701057777,,,Farmanbaran- Near Rahman Mosque,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
"شؤرومى بةختياري، جبال موبايل","Jibal Mob, Showroom Bakhtyari.",+9647512196353,https://www.jibalmobile.com/,,,"سلێمانی",Sulaymaniyah,shopping,shop,,,,,real,,
"دراگۆن ڤەیپ",Dragon Vape,+9647707632910,,,,"سلێمانی",Sulaymaniyah,shopping,shop,,,,,real,,
Ajeb Store,,+9647700550660,http://www.ajebstore.com,info@ajebstore.com,"48, 126-24",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Apple Show (Zargata),,+9647704415454,,,Zargata- Near Zargata School,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
"لامو ميوزيك",Lamo music,+9647702162339,https://lamomusic.com/,diare8@yahoo.com,104-69,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"ميرفان",Mirvan,+9647701204995,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"پۆشاکی دیاری",Poshaki Diyari,+9647701349999,,,28 Koraw,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Bokan Luxe,,+9647731838496,,,26 Ashti,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,https://www.facebook.com/profile.php?id=61560663492028,,real,,
"معرض كامران",KAMARAN SHOW,+9647716577000,http://www.kamaranco.com,suli@kamaranco.com,Malik Mahmud Street,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"سيدني بيبي",Sydney Baby,+9647703114443,,,Malik Mahmud Street,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"فری پاوەر",Free Power,+9647511580123,https://m.facebook.com/solarkurdish0?mibextid=ZbWKwL,sarkooahmed@gmail.com,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Italy Market (Etaly Market),,+9647701525638,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"بەم لایت کۆمپانی",BAM light Company,+9647701520263,https://www.bamlight.com/,info@bamlight.com,"22, شەقامی مەلیک مەحمود",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"مۆبایلی ئاوارە",mobile awara,+9647708629262,,awara.920443@gmail.com,120-3,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"پۆشاک و بالەی ئایە",poshakw balai aya,+9647501062046,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"پۆشاکی خانمان",SETRE,+9647704082004,https://m.facebook.com/SetreFashion/,,20 Saeed Kaban,"سلێمانی",Sulaymaniyah,shopping,shop,,,,,real,,
"كوين بيبي",Queen Baby,+9647706663930,https://www.instagram.com/queen_baby_sul.com,1993.rawa@gmail.com,112-15,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"کوین بەیبی",Queen Baby,+9647706663930,https://www.instagram.com/queen_baby_sul,,112-15,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"پاشافون",pashaphone,+9647708662247,,,213-3,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
07708662247,,+9647708662247,,,213-3,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Hawkartop,,+9647709201510,,,30 Meter Road,suleimanyiah,Sulaymaniyah,shopping,shop,,,,,real,,
"کوتاڵی ئیدریس",kutali edris,+9647701473932,,,53 Alwand,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"ماڵی زیرەک کۆمپانیای MOF Eng","Smart Home, MOF Eng company",+9647709736141,http://www.mof-eng.com,mof.co.ceo@gmail.com,Malik Mahmud Street,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
sewa gian,sewa gyan,+9647511919383,,yahyashex123@gmail.com,120-59,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"مارکێتی یەحیا",markety waran,+9647511919383,,yahyashex123@gmail.com,120-58,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"فەرش و کومباری ئەڤەن تاج",AvanTaj Carpet,+9647701840004,https://www.facebook.com/Avantaj.farsh.kumbar/,,"شەقامی مەلیک مەحمود",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"شوگەر فری",Sugar free,+9647707719897,https://www.facebook.com/Sugar.Free.Suly,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Milan Mobile,,+9647709587591,,,Kurdsat,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
"ئەندێشە",Andesha,+9647701921519,https://m.facebook.com/andesha-market-1463657646983428/,peshawa.o.aziz@gmail.com,30 Daban,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"کامەرانی هەڕاج ۱",kamarani haraj 1,+9647501918600,,,212-50,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"مۆبایلی ڤانە",Vana Phone,+9647700531761,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"پێشانگای وەستا لطیف بۆپێداویستی بیناسازی","komar پێشانگای وەستا لطیف بۆپێداویستی بیناسازی",+9647507898688,,komarllatif@gmail.com,"مەلا داود",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Barham Phone,,+9647701464368,https://www.facebook.com/profile.php?id=100064196047243,,"HC4V+844, Sulaymaniyah 46001, HC4V+844, Sulaymaniyah 46001","السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
Valan collection,,+9647726919292,https://m.facebook.com/pg/ValanCollection,,39 Jamal Erfan,"سلێمانی",Sulaymaniyah,shopping,shop,,,,,real,,
Adela Boutique,,+9647701830404,https://www.instagram.com/adela.suli/,,39 Jamal Erfan,"سلێمانی",Sulaymaniyah,shopping,shop,,,,,real,,
Ranj Market,,,,,"Al-Sulaymaniyah, Bakrajo, Barambar Maktabi barda qaraman","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
"سوپه رماركيتى به خشين",supermarkete baxshin,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
Marketi Kanasura,,,,,"Al-Sulaymaniyah, Kanasura, nzik bazary kana sura","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
"مارکیتی گاردینیا",Markety gardynya,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"دوکانی کاک جەماڵ",Mr. Jamal Store,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"مارکێتی شاز",Shaz Market,,,,Bakrajo,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"ماركيت شوك",Shook Market,,,,Bakrajo,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
parijan market,,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"شارز",,,,,"به كره جو نزيك باخه كه","السليمانيه",Sulaymaniyah,shopping,shop,,,,,partial,,
"شوك",,,,,"بكره جو قريب باخه كه","السليمانيه",Sulaymaniyah,shopping,shop,,,,,partial,,
"توتو",,,,,"بكره و القديم امتداد شارع جراج ماجدي مول(توتو)","السليمانيه",Sulaymaniyah,shopping,shop,,,,,partial,,
Marketi Nano,,,,,"Al-Sulaymaniyah, Bakrajo, nzik mzgawti Abubakry Sdiq","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
"مارکێتی فەرهەنگ",market farhang,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
marketi mama gull,,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"مارکێتی مامە گوڵ",markete mama gul,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"المدينة",,,,,"الشارع الرئيسي من طريق ماجدي مول(المدينة)","السليمانيه",Sulaymaniyah,shopping,shop,,,,,partial,,
"نەخش و کوتاڵی ڕانیە",,,,,"ڕێگای بەکرەجۆی تازە",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"بالما",,,,,"به كره جو تازه مقابل المقابر","السليمانيه",Sulaymaniyah,shopping,shop,,,,,partial,,
Marketi Vinos,,,,,"Al-Sulaymaniyah, Bakrajo, nzik katb adli bakrajo","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
Marketi Malak,,,,,"Al-Sulaymaniyah, bakrajoy taza, nzik samunxanay zamo","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
"قیوان شو",Qaiwan Show,,,,Bakrajo,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"سەنتەرى مرۆ نما",mronma saner;Markety shary nwe,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
Barzy Center,,,,,,"السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
"فرۆشگای چوارچرا",,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"ادهم",,,,,"اسفل مجمع جوارجرا نوى(ادهم)","السليمانيه",Sulaymaniyah,shopping,shop,,,,,partial,,
Marketi Adham,,,,,"Al-Sulaymaniyah, Chwarchray nwe","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
Mobile Danyar,,,,,"Al-Sulaymaniyah, Chwarchra, barambar markazi chwarchra","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
Penjwen Phone,,,,,"Al-Sulaymaniyah, Chwarchra, barambar markazi chwarchra","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
Marketi Baba Gull,,,,,"Al-Sulaymaniyah, Chwarchra, barambar markazi chwarchra","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
Markety asna,Asna market,,,,Bakrajo-Awbara,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
King Market,King market,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"محمد الكهربائي",,,,,"شەقامی مەلیک مەحمود",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"کومپانیای شاره زور",,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"سوق برهان",burhan company,,,,"ناوچەی پیشەسازی",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"بلو ماركيت",blue market,,,,,"سلێمانی",Sulaymaniyah,shopping,shop,,,,,partial,,
"سوبرمارکیت فیردوس",Firdos,,,,,"سلێمانی",Sulaymaniyah,shopping,shop,,,,,partial,,
"فردوس",,,,,"رزكاري قبل جسر خسرو خال(فردوس)","السليمانيه",Sulaymaniyah,shopping,shop,,,,,partial,,
"ماركيتي دايم",,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"مجمع شاري ماموستايان",,,,,"خلف منطقة جالا الصناعية-(شاري ماموستايان)","السليمانيه",Sulaymaniyah,shopping,shop,,,,,partial,,
"لوبنان ستی",Lubnan city,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
Marketi Drud,,,,,"Al-Sulaymaniyah, shex abas","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
"دووکانی موحەمەد",,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
Moliday qaratoghan,,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
Marketi Xaki Baban,,,,,"Al-Sulaymaniyah, Setwan, nzik mzgawti setwan","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
"مارکێتی ئەژیر(گوڵی سوور)",guli swr market,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
Mini Marketi Zhyar w Muhammed,,,,,"Al-Sulaymaniyah, Zerinok, nzik mzgawti siwail","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
Mini Marketi Darya,,,,,"Al-Sulaymaniyah, Setwan, xwar mzgawti setwan","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
Mobile Rayan,,,,,"Al-Sulaymaniyah, Setwan","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
"مارکێتی میلەت",Milat Market,,,,"00, 33 Shekh Salam",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"هەفتە بازاڕی کورد",Hafta bazary kwrd,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"كولي مينا",,,,,"كاني با  مقابل مسجد خير خوازي","السليمانيه",Sulaymaniyah,shopping,shop,,,,,partial,,
"فاروق",,,,,"جوار جرا  مقابل مجمع كورد سيتي","السليمانيه",Sulaymaniyah,shopping,shop,,,,,partial,,
"هه ناسه",,,,,"جوارجرا مقابل مجمع كورد سيتي","السليمانيه",Sulaymaniyah,shopping,shop,,,,,partial,,
"فروشكاي سارال ٢ جوارجرا",,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
Marketi UK,,,,,"Al-Sulaymaniyah, Chwarchra, nzik groupi halabja","السليمانية",Sulaymaniyah,shopping,shop,,,,,partial,,
"سۆپەر ماركێتی هاروون",,,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,partial,,
"گوڵی سەوسەن",,,,,"چوارچرا","سلێمانی",Sulaymaniyah,shopping,shop,,,,,partial,,
