name,name_en,phone,website,email,address,city,governorate,category,subcategory,latitude,longitude,facebook,instagram,data_quality,verified,source
Coral Baghdad Hotel,,,,,,Baghdad,Baghdad,Hotel,hotel,33.282766,44.394008,,,partial,false,osm
Babylon Rotana,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2912242,44.3904889,,,partial,false,osm
فندق بابل اوبروي,,,,,بغداد / الجادرية,Baghdad,Baghdad,Hotel,hotel,33.291224,44.3904892,,,partial,false,osm
Babylon accommodation,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2906173,44.389341,,,partial,false,osm
فندق ارض الزهور,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2859482,44.3974194,,,partial,false,osm
فندق السفير,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2859956,44.398294,,,partial,false,osm
قسم الاخراج الكمركي / الدورة,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2620197,44.4250344,,,partial,false,osm
مكتب عدي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2938353,44.4166315,,,partial,false,osm
قصر الحياة,قصر الحياة,,,,Inner Karrada Street,Baghdad,Baghdad,Hotel,hotel,33.2941727,44.4216486,,,partial,false,osm
فندق انور ومثنى,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2941179,44.4212123,,,partial,false,osm
فندق بلوم,baloom hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.2914433,44.4221234,,,partial,false,osm
فندق دجلة,,,,,شارع عرصات الهندية,Baghdad,Baghdad,Hotel,hotel,33.2910348,44.4208471,,,partial,false,osm
فندق انوار دجلة,,,,,بغداد / عرصات الهندية,Baghdad,Baghdad,Hotel,hotel,33.2909329,44.4208047,,,partial,false,osm
سكن الاردنيين,Development Bank,,,,929-37,Baghdad,Baghdad,Hotel,hotel,33.2921885,44.4209907,,,partial,false,osm
العرصات بلازا,Arasat Blaza,,,,شارع عشتار,Baghdad,Baghdad,Hotel,hotel,33.2916722,44.4227308,,,partial,false,osm
فندق بيليتوم,Bilitom,,,,,Baghdad,Baghdad,Hotel,hotel,33.2938395,44.4278355,,,partial,false,osm
فندق ديانا,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2971374,44.4136605,,,partial,false,osm
Inter Hotel,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3004053,44.4203156,,,partial,false,osm
فندق قصر المسبح,,,,,Karada Kharij,Baghdad,Baghdad,Hotel,hotel,33.2996722,44.4330803,,,partial,false,osm
فندق و مطعم هلي السياحي,Hotel and rest. Haly,,,,تقاطع المسبح,Baghdad,Baghdad,Hotel,hotel,33.3011184,44.4320521,,,partial,false,osm
فندق قصر الشرق,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3018924,44.4330609,,,partial,false,osm
قصر الشرق قاعة ملهى,,,,,,Baghdad,Baghdad,Hotel,hotel,33.302058,44.4329658,,,partial,false,osm
فندق برج السلام,Tower hotel peace,,,,Al-Saadoon Street,Baghdad,Baghdad,Hotel,hotel,33.3085127,44.4265508,,,partial,false,osm
فندق برج السلام,Tower hotel peace,,,,Al-Saadoon Street,Baghdad,Baghdad,Hotel,hotel,33.3081744,44.4268439,,,partial,false,osm
فندق برج السلام,,,,,بغداد / شارع ابو نؤاس / السعدون,Baghdad,Baghdad,Hotel,hotel,33.308211,44.4264146,,,partial,false,osm
الوادي الاخضر,Green valley,,,,,Baghdad,Baghdad,Hotel,hotel,33.3070955,44.4297221,,,partial,false,osm
فندق قصر الغدير,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3023596,44.4332347,,,partial,false,osm
قلب بغداد,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3062509,44.4302167,,,partial,false,osm
قاعة وملهى الجوهرة,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3021678,44.4331198,,,partial,false,osm
فندق قصر العرب,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3081712,44.429448,,,partial,false,osm
فندق سبا,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2934242,44.4391892,,,partial,false,osm
مجمع الانباسي السكني,,,,,شارع المسبح,Baghdad,Baghdad,Hotel,hotel,33.2922391,44.4389158,,,partial,false,osm
Shaheen Hotel & Restaurant-فندق ومطعم شاهين,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2932056,44.4340452,,,partial,false,osm
فندق جبل بيروت,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2998939,44.4357533,,,partial,false,osm
قصر المسبح,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2994594,44.4341225,,,partial,false,osm
فندق برج بغداد,Burj Baghdad Hotel,,,,Karada Kharij,Baghdad,Baghdad,Hotel,hotel,33.2996506,44.433949,,,partial,false,osm
فندق برج بغداد,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3007773,44.4378689,,,partial,false,osm
فندق قصر السندباد,,,,,,بغداد,Baghdad,Hotel,hotel,33.3004252,44.4372355,https://ar-ar.facebook.com/sindibad.place/,,partial,false,osm
قصر السندباد,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3004507,44.4394615,,,partial,false,osm
فندق قصر المسبح,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2998267,44.4335328,,,partial,false,osm
فندق بيت السندباد,,,,,,Baghdad,Baghdad,Hotel,hotel,33.299914,44.4368259,,,partial,false,osm
فندق قصر الإعلام,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3001,44.4361097,,,partial,false,osm
ابو عبدو المصلاوي حداد/فايبر,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2965262,44.4435794,,,partial,false,osm
فندق البيت الصغير,,,,,بغداد /كرادةخارج قرب ساحة عقبةبن نافع,Baghdad,Baghdad,Hotel,hotel,33.3011569,44.4424524,,,partial,false,osm
فندق اوروك,Uruk hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.3031595,44.4361368,,,partial,false,osm
فندق اوروك,,,,,بغداد / كرادةخارج قرب ساحةعقبةبن نافع,Baghdad,Baghdad,Hotel,hotel,33.3032348,44.4360988,,,partial,false,osm
دار الضيافة,Hospatality house,,,,"62, شارع 52",Baghdad,Baghdad,Hotel,hotel,33.3074753,44.4430896,,,partial,false,osm
فندق شهد,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3024411,44.4431571,,,partial,false,osm
سكن شركة الحفر العراقيه,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3075759,44.4428061,,,partial,false,osm
فندق ديفان,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3045089,44.4475902,,,partial,false,osm
شركة العراق العالمية IRAG GLOBAL,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3178603,44.3847418,,,partial,false,osm
مجمع سكني فندق الرشيد,Al-Rasheed Residential Hotel Complex,,,,,Baghdad,Baghdad,Hotel,hotel,33.3173284,44.3914533,,,partial,false,osm
قصر المرتضى,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3278126,44.3841055,,,partial,false,osm
فندق الخلود,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3303,44.3853,,,partial,false,osm
فندق الساحل,,,,,شارع ٦,Baghdad,Baghdad,Hotel,hotel,33.3301118,44.3837049,,,partial,false,osm
فندق حدائق غرناطة,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3289,44.3899,,,partial,false,osm
100 ع,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3345227,44.3877652,,,partial,false,osm
فندق المنصور ميليا,,,,,بغداد / الصالحية,Baghdad,Baghdad,Hotel,hotel,33.3278009,44.396051,,,partial,false,osm
فندق الميناء,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3340863,44.3985055,,,partial,false,osm
شقة عبود,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3560503,44.3618013,,,partial,false,osm
فندق ضيافة دجلة,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3363637,44.3861496,,,partial,false,osm
فندق الصياد,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3449877,44.3874859,,,partial,false,osm
مجمع الخلفاء السكني,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3470176,44.3863028,,,partial,false,osm
AL Bedaa Hotel,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3368499,44.4001535,,,partial,false,osm
فندق عشتارشيراتون,,,,,بغداد / شارع السعدون,Baghdad,Baghdad,Hotel,hotel,33.313886,44.4190466,,,partial,false,osm
فندق باخان,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3216838,44.4129656,,,partial,false,osm
فندق السفير,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3217851,44.4122934,,,partial,false,osm
فندق بايلوت,pilot hotel,,,,9,Baghdad,Baghdad,Hotel,hotel,33.3217562,44.412949,,,partial,false,osm
فندق قصر السدير,,,,,بغداد السعدون,Baghdad,Baghdad,Hotel,hotel,33.3205488,44.4156832,,,partial,false,osm
فندق باخان,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3179368,44.4202209,,,partial,false,osm
Palace hotel Paradise,Palace hotel Paradise,,,,,Baghdad,Baghdad,Hotel,hotel,33.3178878,44.4183111,,,partial,false,osm
فندق بغداد الدولي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3186963,44.4155137,,,partial,false,osm
فندق بعداد,Baghdad Horel,,,,بغداد السعدون,Baghdad,Baghdad,Hotel,hotel,33.3187038,44.4153735,,,partial,false,osm
فندق ديوان,,,,,بغداد السعدون,Baghdad,Baghdad,Hotel,hotel,33.3209171,44.4147921,,,partial,false,osm
فندق بغداد,Baghdad hotel,,,,بغداد السعدون,Baghdad,Baghdad,Hotel,hotel,33.3191284,44.4155341,,,partial,false,osm
فندق ريم البوادي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3178866,44.4168607,,,partial,false,osm
فندق اوسكار,,,,,شارع السعدون,Baghdad,Baghdad,Hotel,hotel,33.3210001,44.4157497,,,partial,false,osm
دار الظيافه,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3206357,44.4155108,,,partial,false,osm
المنصور,Mansur,,,,,Baghdad,Baghdad,Hotel,hotel,33.3214368,44.4166048,,,partial,false,osm
Royal Garden,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3169205,44.4199809,,,partial,false,osm
Baghdad Hotel,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3186679,44.4150578,,,partial,false,osm
فندق فلسطين,,,,,بغداد / شارع السعدون,Baghdad,Baghdad,Hotel,hotel,33.3153679,44.4187673,,,partial,false,osm
فندق بغداد,,,,,بغداد / شارع السعدون,Baghdad,Baghdad,Hotel,hotel,33.3186506,44.4150967,,,partial,false,osm
فندق المنصور,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3179378,44.4141244,,,partial,false,osm
فندق بحرة البجع,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3110018,44.4247584,,,partial,false,osm
فتدق بحيرة البجع,hotel swan lake,,,,,Baghdad,Baghdad,Hotel,hotel,33.3132571,44.4252898,,,partial,false,osm
فندق الماس,Almas Hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.3117937,44.4222658,,,partial,false,osm
ركن كهرمانه,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3114441,44.4254194,,,partial,false,osm
فندق الماس,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3135192,44.4244826,,,partial,false,osm
الاناء الملكي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3094116,44.4259524,,,partial,false,osm
الاناء الملكي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3096879,44.4264534,,,partial,false,osm
فندق ركن كهرمانة,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3116387,44.425538,,,partial,false,osm
فندق جنات العراق,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3088772,44.425228,,,partial,false,osm
فندق قصر الماس,,,,,بغداد / البتاوين,Baghdad,Baghdad,Hotel,hotel,33.3136493,44.4245069,,,partial,false,osm
v2,al-rashid building,,,,,Baghdad,Baghdad,Hotel,hotel,33.3101086,44.4276802,,,osm,false,osm
فندق ركن العزائم,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3095913,44.4307058,,,partial,false,osm
فندق ركن العزائم,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3116486,44.4287525,,,partial,false,osm
عمارة ماجد,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3129222,44.4271727,,,partial,false,osm
فندق طليطله,TOLEDO,,,,Salman Fayq Street,Baghdad,Baghdad,Hotel,hotel,33.3100961,44.4316043,,,partial,false,osm
شقق و مطعم و قاعه افراح المحبة,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3109188,44.4276662,,,partial,false,osm
فندق شقق المحبة,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3109647,44.4274295,,,partial,false,osm
Rokn 3azaim,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3117701,44.428957,,,partial,false,osm
ركن بيسان,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3123529,44.4274655,,,partial,false,osm
فندق السدير,,,,,بغداد / شارع النضال,Baghdad,Baghdad,Hotel,hotel,33.3152805,44.4243754,,,partial,false,osm
فندق الشاهين,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3202072,44.4205969,,,partial,false,osm
الزاملي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.321264,44.4326347,,,partial,false,osm
كويسان,Koesan,,,,شارع المشجر,Baghdad,Baghdad,Hotel,hotel,33.3265062,44.4135221,,,partial,false,osm
فندق أطلس في شارع السعدون,,,,,بغداد السعدون,Baghdad,Baghdad,Hotel,hotel,33.3223461,44.4133478,,,partial,false,osm
نازانين,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3265515,44.4134312,,,partial,false,osm
فندق سارا,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3255238,44.4130357,,,partial,false,osm
فندق الظهران,,,,,بغداد السعدون,Baghdad,Baghdad,Hotel,hotel,33.3257924,44.4101115,,,partial,false,osm
فندق ارض الخيرات,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3230534,44.4134208,,,partial,false,osm
فندق قصر العيون,,,,,شارع المشجر,Baghdad,Baghdad,Hotel,hotel,33.326647,44.4137328,,,partial,false,osm
فدق دوكان,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3246534,44.4135953,,,partial,false,osm
فندق,بغداد,,,,,Baghdad,Baghdad,Hotel,hotel,33.3264079,44.4137012,,,partial,false,osm
فندق الروان,,,,,,Baghdad,Baghdad,Hotel,hotel,33.326685,44.4137356,,,partial,false,osm
كهوة السعدون الحلوين,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3264789,44.4134244,,,partial,false,osm
فندق السفير,,,,,بغداد / شارع ابو نؤاس,Baghdad,Baghdad,Hotel,hotel,33.3219755,44.4122127,,,partial,false,osm
فندق اللجين,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3220456,44.4164072,,,partial,false,osm
فندق سيران,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3232706,44.4151615,,,partial,false,osm
فندق جبل زمناكو,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3268341,44.4140676,,,partial,false,osm
فندق قصر سيوان,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3261792,44.4137669,,,partial,false,osm
فندق قصر المناخة,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3226571,44.4144695,,,partial,false,osm
فندق زهره الكاردينيا,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3270758,44.414234,,,partial,false,osm
الينبع,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3229051,44.4142855,,,partial,false,osm
فندق قصر الشام,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3268681,44.4140838,,,partial,false,osm
قصر سيروان,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3247947,44.4146276,,,partial,false,osm
فندق,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3269131,44.4140877,,,partial,false,osm
فندق دجلة الخير,,,,,شارع السعدون,Baghdad,Baghdad,Hotel,hotel,33.3233209,44.4137641,,,partial,false,osm
فندق الحديدي,Al-hadedi’s hotel;Hotel AL hdeady,,,,,Baghdad,Baghdad,Hotel,hotel,33.3283831,44.4149515,,,partial,false,osm
فندق التساهل,al-tasahol hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.3284835,44.4150775,,,partial,false,osm
وزارة التعليم العالي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3265963,44.420473,,,partial,false,osm
قسم التسفير والمحاكم,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3304184,44.431755,,,partial,false,osm
فندق قصر المرجان,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3125868,44.4366958,,,partial,false,osm
ايكال,Ekal Hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.3123723,44.434981,,,partial,false,osm
Al MRBEH,Al MRBEH,,,,,Baghdad,Baghdad,Hotel,hotel,33.3351983,44.4086623,,,partial,false,osm
نادي ضباط العراق الترفيهي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3372703,44.4266456,,,partial,false,osm
شارع فلسطين صاحب جلال دراجات,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3513812,44.4145837,,,partial,false,osm
كراج انوار الجوادين,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3760304,44.3255345,,,partial,false,osm
فندق ملاذ الكاظميين,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3711586,44.3414396,,,partial,false,osm
جولد ستار,Gold star,,,,,Baghdad,Baghdad,Hotel,hotel,33.373667,44.338914,,,partial,false,osm
تاج السلطان,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3739368,44.3392823,,,partial,false,osm
فندق و مطعم القائم عج,ALQAYIM HOTEL,,,,شارع النواب,Baghdad,Baghdad,Hotel,hotel,33.3741092,44.339773,,,partial,false,osm
فندق نور الهدى,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3726334,44.3390515,,,partial,false,osm
فندق التمار,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3719669,44.3407036,,,partial,false,osm
فندق ضيوف الامراء,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3737248,44.338213,,,partial,false,osm
فندق طيبة teeba hotel,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3736434,44.341862,,,partial,false,osm
الطيبة السياحي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.373613,44.3425821,,,partial,false,osm
كباب اعظمية,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3698585,44.3531688,,,partial,false,osm
Shanasheel Al Kadhimiya,Shanasheel Al Kadhimiya,,,,,Baghdad,Baghdad,Hotel,hotel,33.3769016,44.3383741,,,partial,false,osm
فندق شاطئ الكاظمية,Nil shrine hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.3788822,44.3390486,,,partial,false,osm
فندق الدهوي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3789905,44.3382477,,,partial,false,osm
ضيوف الكاظمية,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3802548,44.3398592,,,partial,false,osm
فندق العقيله,,,,,شارع باب القبله,Baghdad,Baghdad,Hotel,hotel,33.3778663,44.3382525,,,partial,false,osm
فندق جوهرة الكاظمين,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3784514,44.3378041,,,partial,false,osm
فندق الذهب,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3783955,44.338112,,,partial,false,osm
فندق الدهوي,Aldahawi hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.3773787,44.3384577,,,partial,false,osm
فندق الفيحاء,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3796696,44.3396883,,,partial,false,osm
فندق الصادق,,,,,,Baghdad,Baghdad,Hotel,hotel,33.377788,44.3382895,,,partial,false,osm
الراية,alraya,,,,,Baghdad,Baghdad,Hotel,hotel,33.377053,44.3352591,,,partial,false,osm
فندق الريام,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3780095,44.3385262,,,partial,false,osm
فندق ابي طالب,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3782194,44.338898,,,partial,false,osm
البلد الامين,,,,,شارع باب القبله,Baghdad,Baghdad,Hotel,hotel,33.3764387,44.3381956,,,partial,false,osm
فندق ابابيل,Ababil Hotel,,,,,Baghdad,Baghdad,Hotel,hotel,33.3776591,44.3384858,https://www.facebook.com/فندق-ابابيل-السياحي-839013879497743/,,partial,false,osm
فندق ومطعم ابابيل,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3776637,44.3384461,,,partial,false,osm
فندق ضوء الماس,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3784238,44.3387474,,,partial,false,osm
فندق فضوة الشيخ,,,,,شارع باب القبله,Baghdad,Baghdad,Hotel,hotel,33.3794127,44.3410348,,,partial,false,osm
فندق نويش 7811,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3748763,44.3381638,,,partial,false,osm
فندق الدهوي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3771474,44.3387847,,,partial,false,osm
فندق الدهوي باب القبلة,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3772204,44.3388121,,,partial,false,osm
ملاذ الجوادين,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3752104,44.3378288,,,partial,false,osm
فندق شناشيل,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3767905,44.3382538,,,partial,false,osm
فندق التاج الكاظمية,,,,,,Baghdad,Baghdad,Hotel,hotel,33.377006,44.3380048,,,partial,false,osm
فندق قصر الكاظمية,,,,,بغداد / الكاظمية,Baghdad,Baghdad,Hotel,hotel,33.3747034,44.3377495,,,partial,false,osm
فندق طاوس الجنة,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3839,44.3398,,,partial,false,osm
